County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd,Location,ClientLocator,SiteID
King,West Green Lake Beach,L68480-1,8,09/05/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68441-1,8,08/28/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68441-1,8,08/28/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68378-1,8,08/21/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68378-1,8,08/21/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68302-1,8,08/14/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68302-1,8,08/14/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68288-1,8,08/07/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68288-1,8,08/07/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68230-1,8,07/31/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68230-1,8,07/31/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68164-1,8,07/24/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68164-1,8,07/24/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68115-1,8,07/17/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68115-1,8,07/17/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68069-1,8,07/10/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68069-1,8,07/10/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68059-1,8,07/05/2017,Anatoxin-a,<MDL,0.165,No,No,,,213
King,West Green Lake Beach,L68059-1,8,07/05/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68032-1,8,06/26/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L68005-1,8,06/19/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L67910-1,8,06/12/2017,Microcystin,<MDL,0.150,No,No,,,213
King,West Green Lake Beach,L66445-9,8,10/24/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L66445-9,8,10/24/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66325-9,8,10/17/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66237-9,8,10/10/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L66237-9,8,10/10/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66156-9,8,10/03/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66105-9,8,09/26/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L66105-9,8,09/26/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66089-12,8,09/19/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66054-12,8,09/12/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L66054-12,8,09/12/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L66024-12,8,09/06/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65985-12,8,08/29/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L65985-12,8,08/29/2016,Microcystin,<MDL,0.200,No,No,,,213
